Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2022-01-03;9;9;8.3;8.3;583
2022-01-05;8.3;8.3;8.3;8.3;60
2022-01-07;8.3;8.3;8.1;8.3;2005
2022-01-10;8.3;8.3;8.3;8.3;60
2022-01-11;8.2;8.2;8.2;8.2;144
2022-01-13;8.3;8.3;8.3;8.3;10
2022-01-17;8.2;8.2;8.1;8.1;2146
2022-01-18;8.2;8.2;8.1;8.1;183
2022-01-19;8.1;8.1;8.1;8.1;80
2022-01-20;8.1;8.1;8.1;8.1;550
2022-01-21;8;8.2;8;8.2;110
2022-01-24;8.1;8.1;7.85;7.85;100
2022-01-25;7.9;8.15;7.9;8.15;1020
2022-01-27;7.8;8.05;7.8;8;2300
2022-01-28;8.1;8.1;8.1;8.1;926
2022-01-31;8;8;7.8;7.85;3750
2022-02-01;7.85;8.15;7.85;8.15;1510
2022-02-04;7.85;7.85;7.85;7.85;500
2022-02-08;7.85;8.15;7.85;8.15;102
2022-02-09;7.8;7.85;7.7;7.85;1966
2022-02-10;8.15;8.4;8.15;8.4;262
2022-02-11;8.4;8.4;8;8;1225
2022-02-14;8;8;7.9;7.9;1985
2022-02-21;7.65;7.65;7.65;7.65;140
2022-02-22;7.7;7.7;7.7;7.7;140
2022-02-23;7.6;7.6;7.6;7.6;2500
2022-02-24;7.4;7.4;6.7;6.7;1525
2022-02-25;7;7.05;7;7;1470
2022-03-02;7.2;7.2;7.2;7.2;10
2022-03-03;7.2;7.2;7.2;7.2;2000
2022-03-04;6.9;7.2;6.25;7.2;268
2022-03-09;6.8;6.8;6.8;6.8;100
2022-03-10;7.15;7.15;7.05;7.15;29
2022-03-11;7.15;7.2;7.15;7.2;324
2022-03-15;6.8;7.2;6.8;7.2;429
2022-03-17;7.2;7.2;7.2;7.2;1000
2022-03-18;7.2;7.2;6.9;6.9;2500
2022-03-21;6.9;6.9;6.9;6.9;521
2022-03-23;6.9;6.9;6.9;6.9;100
2022-03-24;6.9;6.9;6.9;6.9;129
2022-03-25;7;7.1;7;7.1;1500
2022-03-28;7;7.1;7;7.1;1500
2022-03-29;7.1;7.1;7.1;7.1;2130
2022-03-30;7.1;7.45;7.1;7.1;6243
2022-03-31;7.15;7.15;7.15;7.15;200
2022-04-04;6.95;6.95;6.85;6.9;650
2022-04-05;6.85;6.85;6.85;6.85;650
2022-04-06;6.9;7.4;6.9;6.9;1100
2022-04-07;7;7;6.9;6.9;200
2022-04-08;7;7;7;7;1924
