Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,672,696,670,688,286
2022-01-04,696,700,696,700,116
2022-01-05,702,710,682,698,172
2022-01-07,708,728,700,720,372
2022-01-10,722,840,722,798,2307
2022-01-11,812,812,784,802,576
2022-01-12,812,814,790,790,519
2022-01-13,790,802,786,790,206
2022-01-14,788,790,778,782,214
2022-01-17,786,786,770,772,596
2022-01-18,774,774,756,768,718
2022-01-19,768,768,752,756,583
2022-01-20,758,764,756,758,173
2022-01-21,756,756,740,748,494
2022-01-24,750,750,696,700,1145
2022-01-25,720,748,720,732,727
2022-01-26,744,752,740,750,947
2022-01-27,750,750,742,748,88
2022-01-28,748,748,712,722,222
2022-01-31,740,750,740,748,64
2022-02-01,740,750,722,750,44
2022-02-02,750,758,744,758,609
2022-02-03,758,758,750,758,239
2022-02-04,750,750,736,750,58
2022-02-07,750,750,732,742,72
2022-02-08,742,744,730,738,41
2022-02-09,738,748,738,746,63
2022-02-10,742,746,730,730,289
2022-02-11,734,734,724,730,151
2022-02-14,720,720,688,714,645
2022-02-15,718,730,708,716,196
2022-02-16,714,716,676,688,1822
2022-02-17,690,710,674,686,420
2022-02-18,686,686,672,676,291
2022-02-21,676,692,650,674,630
2022-02-22,656,708,656,694,500
2022-02-23,698,710,652,652,317
2022-02-24,632,680,570,610,4645
2022-02-25,610,660,610,660,751
2022-02-28,650,748,650,706,1999
2022-03-01,706,732,706,720,6584
2022-03-02,720,730,704,720,286
2022-03-03,734,734,692,698,1029
2022-03-04,700,700,658,676,1291
2022-03-07,664,670,628,650,2957
2022-03-08,654,664,632,654,749
2022-03-09,660,696,658,662,778
2022-03-10,662,680,662,666,180
2022-03-11,666,680,666,678,261
2022-03-14,678,690,678,688,158
2022-03-15,698,698,678,678,34
2022-03-16,684,690,674,688,174
2022-03-17,690,698,666,692,300
2022-03-18,694,708,692,704,297
2022-03-21,708,708,678,704,149
2022-03-22,704,704,696,698,38
2022-03-23,710,710,694,708,131
2022-03-24,704,708,704,704,115
2022-03-25,706,716,704,706,103
2022-03-28,708,720,704,716,131
2022-03-29,714,720,706,706,1131
2022-03-30,712,738,708,708,308
2022-03-31,710,720,708,718,257
2022-04-01,718,724,712,724,81
2022-04-04,724,726,712,726,62
2022-04-05,728,728,724,726,41
2022-04-06,726,726,718,724,45
2022-04-07,724,726,718,724,78
2022-04-08,708,724,680,712,501
2022-04-11,702,708,694,700,105
2022-04-12,718,720,690,690,141
2022-04-13,718,718,684,684,142
2022-04-14,686,710,686,688,63
2022-04-19,688,704,682,694,82
2022-04-20,702,702,682,686,139
2022-04-21,688,700,688,696,42
2022-04-22,700,702,670,678,246
2022-04-25,662,690,640,676,431
2022-04-26,676,688,662,684,82
2022-04-27,682,682,654,678,95
2022-04-28,678,678,666,666,72
2022-04-29,666,672,658,668,133
2022-05-02,654,664,630,638,161
2022-05-04,648,668,648,666,94
2022-05-05,660,668,650,650,58
2022-05-06,650,662,638,638,122
2022-05-09,638,646,610,620,314
2022-05-10,630,630,604,610,281
2022-05-11,620,632,616,632,118
